shipment_id,shipment_time,weather_condition,geopolitical_event,supplier_reliability,transportation_mode,route_risk,delay
SHIP_1202,9,Storm,Sanction,0.68,Sea,1,7
SHIP_1203,6,Rainy,None,0.9,Air,6,3
SHIP_1204,8,Clear,Sanction,0.77,Road,4,5
SHIP_1205,10,Rainy,None,0.51,Rail,4,4
SHIP_1206,14,Clear,Strike,0.69,Rail,3,5
SHIP_1207,14,Rainy,Sanction,0.8,Sea,9,7
SHIP_1208,6,Clear,Sanction,0.81,Air,2,3
SHIP_1209,12,Clear,Strike,0.77,Sea,1,5
SHIP_1210,6,Clear,None,0.91,Air,3,2
SHIP_1211,5,Storm,Sanction,0.91,Rail,4,6
SHIP_1212,7,Rainy,None,0.71,Sea,4,4
SHIP_1213,3,Rainy,Sanction,0.6,Rail,6,4
SHIP_1214,4,Rainy,Tariff,0.75,Rail,1,3
SHIP_1215,2,Clear,Sanction,0.87,Air,1,2
SHIP_1216,3,Rainy,Strike,0.3,Sea,2,6
SHIP_1217,3,Rainy,Strike,0.99,Sea,4,5
SHIP_1218,9,Clear,None,0.43,Rail,7,5
SHIP_1219,9,Snow,Sanction,0.63,Rail,6,6
SHIP_1220,3,Clear,None,0.91,Air,9,3
SHIP_1221,14,Rainy,None,0.46,Road,7,6
SHIP_1222,7,Clear,Tariff,0.63,Road,5,3
SHIP_1223,6,Snow,Tariff,0.39,Rail,6,6
SHIP_1224,4,Clear,Strike,0.58,Road,9,6
SHIP_1225,6,Rainy,None,0.42,Road,1,3
SHIP_1226,6,Snow,Strike,0.55,Road,9,7
SHIP_1227,6,Storm,Sanction,0.56,Road,6,7
SHIP_1228,4,Rainy,None,1.0,Rail,4,3
SHIP_1229,4,Snow,None,1.0,Road,5,4
SHIP_1230,5,Snow,Sanction,0.38,Road,1,5
SHIP_1231,8,Storm,Sanction,0.81,Air,7,6
SHIP_1232,13,Clear,Strike,0.34,Rail,8,8
SHIP_1233,13,Clear,Strike,0.32,Sea,5,7
SHIP_1234,13,Rainy,Sanction,0.37,Sea,2,5
SHIP_1235,3,Storm,Strike,0.98,Air,8,6
SHIP_1236,11,Clear,Sanction,0.96,Air,7,5
SHIP_1237,5,Storm,None,0.44,Rail,9,7
SHIP_1238,5,Clear,None,0.41,Sea,4,3
SHIP_1239,2,Snow,Tariff,0.47,Road,9,6
SHIP_1240,11,Clear,None,0.66,Air,4,3
SHIP_1241,9,Storm,Sanction,0.7,Sea,3,6
SHIP_1242,2,Snow,Strike,0.46,Rail,3,5
SHIP_1243,9,Snow,Tariff,0.83,Road,2,5
SHIP_1244,8,Snow,Strike,0.52,Rail,3,6
SHIP_1245,10,Storm,Sanction,0.95,Air,8,7
SHIP_1246,9,Rainy,None,0.76,Sea,8,6
SHIP_1247,6,Rainy,Tariff,0.61,Sea,2,4
SHIP_1248,9,Rainy,Sanction,0.85,Sea,2,4
SHIP_1249,12,Storm,Tariff,0.87,Sea,2,7
SHIP_1250,11,Snow,Tariff,0.5,Road,7,7
SHIP_1251,13,Rainy,None,0.54,Road,6,5
SHIP_1252,13,Storm,Sanction,0.96,Rail,1,6
SHIP_1253,4,Rainy,Strike,0.42,Road,2,5
SHIP_1254,11,Clear,Tariff,0.33,Air,1,4
SHIP_1255,8,Rainy,Tariff,0.62,Air,7,5
SHIP_1256,13,Rainy,Strike,0.86,Sea,6,7
SHIP_1257,5,Snow,Sanction,0.84,Air,2,4
SHIP_1258,6,Storm,Tariff,0.94,Rail,2,5
SHIP_1259,10,Snow,Tariff,0.67,Road,2,4
SHIP_1260,8,Snow,Tariff,0.37,Road,8,6
SHIP_1261,5,Snow,Sanction,0.71,Road,7,6
SHIP_1262,7,Snow,Sanction,0.84,Air,1,4
SHIP_1263,11,Snow,Strike,0.37,Road,4,7
SHIP_1264,12,Rainy,Sanction,0.42,Sea,4,6
SHIP_1265,8,Snow,Sanction,0.31,Sea,7,7
SHIP_1266,14,Snow,None,0.72,Sea,2,5
SHIP_1267,11,Storm,Strike,0.92,Air,4,6
SHIP_1268,14,Clear,Tariff,0.77,Road,1,3
SHIP_1269,10,Rainy,Sanction,0.99,Air,4,5
SHIP_1270,5,Rainy,Tariff,0.34,Road,1,4
SHIP_1271,11,Rainy,Tariff,0.93,Rail,2,4
SHIP_1272,4,Snow,None,0.87,Rail,2,3
SHIP_1273,9,Snow,Sanction,0.52,Air,3,6
SHIP_1274,2,Snow,Strike,0.98,Sea,8,7
SHIP_1275,10,Storm,Sanction,0.5,Air,6,7
SHIP_1276,14,Clear,Tariff,0.92,Sea,6,5
SHIP_1277,2,Snow,Strike,0.92,Road,9,6
SHIP_1278,3,Clear,Sanction,0.83,Sea,8,5
SHIP_1279,14,Storm,Tariff,0.69,Sea,2,7
SHIP_1280,9,Rainy,Tariff,0.38,Road,6,5
SHIP_1281,10,Snow,None,0.67,Rail,1,5
SHIP_1282,8,Clear,None,0.55,Road,9,4
SHIP_1283,4,Clear,None,0.85,Air,4,2
SHIP_1284,8,Snow,Tariff,0.83,Air,4,5
SHIP_1285,7,Rainy,Sanction,0.94,Air,9,6
SHIP_1286,3,Rainy,None,0.31,Air,3,2
SHIP_1287,4,Rainy,Sanction,0.87,Air,5,4
SHIP_1288,12,Storm,None,0.96,Rail,1,5
SHIP_1289,14,Clear,Strike,0.85,Rail,6,7
SHIP_1290,13,Clear,Strike,0.39,Sea,3,6
SHIP_1291,14,Clear,None,0.36,Air,1,3
SHIP_1292,11,Storm,Tariff,0.31,Road,6,7
SHIP_1293,11,Clear,None,0.74,Air,2,2
SHIP_1294,14,Storm,None,0.74,Rail,8,8
SHIP_1295,13,Rainy,Tariff,0.99,Air,2,4
SHIP_1296,6,Snow,Strike,0.58,Rail,4,7
SHIP_1297,11,Clear,Sanction,0.53,Sea,3,5
SHIP_1298,5,Clear,None,0.74,Sea,9,4
SHIP_1299,3,Rainy,Tariff,0.88,Sea,2,3
SHIP_1300,5,Snow,None,0.96,Rail,3,3
SHIP_1301,13,Storm,Tariff,0.86,Air,7,7
SHIP_1302,9,Snow,Sanction,0.6,Air,4,5
SHIP_1303,6,Rainy,Sanction,0.74,Road,6,5
SHIP_1304,6,Rainy,Strike,0.9,Rail,3,5
SHIP_1305,14,Snow,Tariff,0.64,Road,1,5
SHIP_1306,13,Storm,Tariff,0.45,Sea,6,8
SHIP_1307,13,Storm,Strike,0.42,Air,4,7
SHIP_1308,11,Clear,Strike,0.3,Rail,2,6
SHIP_1309,4,Storm,Tariff,0.8,Road,7,6
SHIP_1310,14,Snow,Strike,0.38,Road,5,8
SHIP_1311,9,Rainy,Sanction,0.47,Road,6,6
SHIP_1312,7,Clear,None,0.51,Air,6,3
SHIP_1313,3,Clear,Sanction,0.69,Air,9,5
SHIP_1314,3,Rainy,Strike,0.58,Air,2,4
SHIP_1315,10,Storm,Tariff,0.77,Rail,6,7
SHIP_1316,14,Rainy,Tariff,0.34,Air,9,7
SHIP_1317,8,Storm,Sanction,0.39,Rail,4,7
SHIP_1318,11,Rainy,Tariff,0.65,Road,6,5
SHIP_1319,10,Snow,Strike,0.54,Road,7,7
SHIP_1320,7,Storm,Sanction,0.51,Sea,1,7
SHIP_1321,6,Snow,Tariff,0.35,Air,5,5
SHIP_1322,13,Clear,None,0.93,Road,4,3
SHIP_1323,2,Rainy,None,0.78,Air,2,2
SHIP_1324,13,Clear,Strike,0.39,Rail,2,5
SHIP_1325,7,Clear,Tariff,0.35,Road,2,3
SHIP_1326,7,Clear,Strike,0.98,Air,7,5
SHIP_1327,4,Clear,Sanction,0.78,Road,4,3
SHIP_1328,4,Rainy,None,0.59,Road,6,4
SHIP_1329,4,Clear,Sanction,0.79,Air,7,5
SHIP_1330,4,Rainy,Tariff,0.83,Road,9,5
SHIP_1331,8,Rainy,Strike,0.85,Road,2,5
SHIP_1332,11,Snow,Strike,0.63,Road,9,8
SHIP_1333,12,Storm,Strike,0.6,Road,5,8
SHIP_1334,3,Storm,Sanction,0.31,Rail,6,7
SHIP_1335,11,Rainy,None,0.95,Road,6,4
SHIP_1336,14,Snow,Sanction,0.72,Sea,3,6
SHIP_1337,11,Rainy,Sanction,0.44,Road,7,7
SHIP_1338,3,Rainy,Tariff,0.94,Air,7,4
SHIP_1339,4,Rainy,Tariff,0.94,Sea,8,5
SHIP_1340,11,Snow,Tariff,0.99,Rail,5,6
SHIP_1341,13,Storm,None,0.91,Sea,2,5
SHIP_1342,8,Snow,None,1.0,Sea,3,4
SHIP_1343,4,Clear,Tariff,0.47,Sea,9,6
SHIP_1344,8,Snow,Tariff,0.89,Air,6,5
SHIP_1345,10,Snow,None,0.88,Air,8,6
SHIP_1346,12,Snow,Strike,0.46,Air,8,8
SHIP_1347,11,Snow,None,0.37,Rail,5,6
SHIP_1348,13,Storm,None,0.99,Air,1,4
SHIP_1349,12,Clear,None,0.51,Air,6,4
SHIP_1350,5,Storm,Tariff,0.91,Sea,7,7
SHIP_1351,8,Storm,Strike,0.3,Air,9,9
SHIP_1352,10,Snow,None,0.31,Road,2,4
SHIP_1353,9,Rainy,Tariff,0.63,Air,2,3
SHIP_1354,9,Rainy,Sanction,0.47,Rail,1,5
SHIP_1355,10,Storm,Sanction,0.78,Rail,5,7
SHIP_1356,6,Storm,None,0.7,Road,2,5
SHIP_1357,6,Snow,Sanction,0.35,Rail,3,5
SHIP_1358,4,Storm,Strike,0.41,Rail,2,6
SHIP_1359,6,Snow,Sanction,0.57,Sea,4,6
SHIP_1360,9,Rainy,Sanction,0.43,Road,3,5
SHIP_1361,13,Rainy,Strike,0.85,Sea,9,8
SHIP_1362,6,Clear,None,0.59,Sea,2,3
SHIP_1363,5,Rainy,None,0.37,Air,7,3
SHIP_1364,9,Storm,Strike,0.64,Road,3,7
SHIP_1365,8,Rainy,Strike,0.36,Air,8,7
SHIP_1366,7,Snow,Strike,0.39,Air,4,6
SHIP_1367,6,Rainy,Sanction,0.47,Sea,4,5
SHIP_1368,6,Clear,Strike,0.9,Rail,9,5
SHIP_1369,14,Rainy,Tariff,0.95,Road,3,5
SHIP_1370,11,Snow,Sanction,0.88,Rail,7,7
SHIP_1371,3,Snow,None,0.53,Sea,1,4
SHIP_1372,14,Storm,None,0.49,Sea,7,8
SHIP_1373,5,Rainy,None,0.68,Sea,2,3
SHIP_1374,9,Snow,Sanction,0.81,Sea,6,7
SHIP_1375,9,Clear,Tariff,1.0,Sea,9,5
SHIP_1376,12,Storm,Strike,0.39,Sea,6,9
SHIP_1377,2,Clear,Strike,0.33,Rail,3,4
SHIP_1378,3,Rainy,None,0.79,Air,1,2
SHIP_1379,6,Rainy,None,0.88,Rail,4,4
SHIP_1380,10,Rainy,Sanction,0.89,Road,4,5
SHIP_1381,11,Storm,Tariff,0.77,Rail,8,7
SHIP_1382,12,Snow,Strike,0.97,Sea,7,7
SHIP_1383,13,Storm,Sanction,0.66,Rail,7,9
SHIP_1384,14,Clear,Strike,0.94,Air,7,6
SHIP_1385,12,Storm,None,0.98,Road,2,4
SHIP_1386,8,Clear,Strike,0.89,Rail,9,7
SHIP_1387,11,Storm,Tariff,0.52,Air,6,7
SHIP_1388,6,Snow,Tariff,0.44,Rail,2,5
SHIP_1389,2,Clear,None,0.68,Road,1,1
SHIP_1390,7,Rainy,Tariff,0.62,Rail,1,4
SHIP_1391,13,Rainy,Tariff,0.91,Sea,1,4
SHIP_1392,9,Storm,Sanction,0.37,Rail,4,7
SHIP_1393,8,Rainy,Strike,0.48,Air,4,5
SHIP_1394,3,Clear,None,0.83,Rail,9,4
SHIP_1395,13,Rainy,None,0.37,Air,1,3
SHIP_1396,6,Snow,None,0.52,Road,3,4
SHIP_1397,12,Snow,None,0.57,Rail,3,6
SHIP_1398,5,Storm,None,0.74,Road,8,5
SHIP_1399,10,Clear,Tariff,0.41,Road,2,4
SHIP_1400,11,Snow,Sanction,0.9,Rail,6,7
SHIP_1401,2,Snow,None,0.61,Air,4,3
SHIP_1402,13,Clear,Sanction,0.94,Road,6,5
SHIP_1403,7,Rainy,Sanction,0.63,Road,5,6
SHIP_1404,4,Rainy,Tariff,0.49,Rail,9,6
SHIP_1405,12,Storm,None,0.4,Rail,9,8
SHIP_1406,10,Rainy,Tariff,0.3,Rail,1,4
SHIP_1407,6,Clear,None,0.67,Rail,3,3
SHIP_1408,14,Snow,Tariff,0.38,Rail,1,5
SHIP_1409,7,Rainy,Sanction,0.57,Sea,6,7
SHIP_1410,12,Storm,None,0.71,Rail,3,6
SHIP_1411,10,Rainy,Strike,0.49,Air,1,5
SHIP_1412,10,Clear,Sanction,0.42,Road,6,6
SHIP_1413,9,Storm,Strike,0.84,Air,5,6
SHIP_1414,10,Rainy,Sanction,0.96,Air,8,6
SHIP_1415,5,Storm,Tariff,0.37,Sea,2,6
SHIP_1416,7,Clear,None,0.41,Rail,8,5
SHIP_1417,6,Snow,Sanction,0.97,Road,5,6
SHIP_1418,6,Clear,Tariff,0.33,Air,8,4
SHIP_1419,5,Clear,None,0.98,Rail,4,3
SHIP_1420,3,Clear,None,0.3,Rail,4,2
SHIP_1421,13,Clear,Sanction,0.91,Sea,4,5
SHIP_1422,7,Snow,None,0.52,Sea,6,6
SHIP_1423,10,Snow,Sanction,0.96,Sea,4,6
SHIP_1424,13,Storm,None,0.52,Road,9,8
SHIP_1425,2,Rainy,Strike,0.76,Air,9,5
SHIP_1426,8,Snow,Tariff,0.36,Sea,3,5
SHIP_1427,7,Snow,Strike,0.47,Sea,7,8
SHIP_1428,4,Rainy,Sanction,0.84,Sea,5,5
SHIP_1429,2,Snow,Strike,0.67,Air,9,7
SHIP_1430,14,Clear,Sanction,0.95,Air,2,4
SHIP_1431,5,Clear,None,0.6,Sea,3,3
SHIP_1432,10,Rainy,None,0.91,Sea,5,5
SHIP_1433,3,Storm,Sanction,0.61,Rail,5,6
SHIP_1434,4,Storm,Strike,0.99,Sea,7,8
SHIP_1435,3,Rainy,None,0.97,Road,8,4
SHIP_1436,3,Rainy,Tariff,0.53,Road,8,5
SHIP_1437,11,Clear,None,0.92,Sea,1,3
SHIP_1438,12,Storm,Tariff,0.89,Air,1,5
SHIP_1439,12,Snow,Strike,0.45,Rail,3,7
SHIP_1440,9,Clear,Tariff,0.74,Air,1,3
SHIP_1441,4,Rainy,Tariff,0.35,Sea,1,4
SHIP_1442,8,Storm,Tariff,0.89,Road,8,7
SHIP_1443,9,Snow,Tariff,0.42,Rail,1,5
SHIP_1444,4,Snow,None,0.35,Air,9,5
SHIP_1445,3,Clear,Tariff,0.58,Air,2,2
SHIP_1446,14,Storm,None,0.7,Sea,9,8
SHIP_1447,14,Storm,Tariff,0.9,Rail,7,8
SHIP_1448,9,Rainy,Sanction,0.98,Road,9,6
SHIP_1449,4,Storm,Strike,0.61,Sea,3,6
SHIP_1450,8,Storm,Tariff,0.34,Rail,1,5
SHIP_1451,13,Clear,Sanction,0.82,Air,1,4
SHIP_1452,2,Storm,Tariff,0.7,Sea,6,5
SHIP_1453,13,Snow,Tariff,0.61,Air,7,6
SHIP_1454,7,Clear,Tariff,0.52,Air,9,4
SHIP_1455,13,Clear,Sanction,0.65,Sea,6,6
SHIP_1456,13,Rainy,Strike,0.54,Sea,5,8
SHIP_1457,14,Storm,Sanction,0.83,Sea,2,7
SHIP_1458,10,Rainy,Strike,0.68,Sea,2,6
SHIP_1459,13,Snow,Tariff,0.91,Sea,8,8
SHIP_1460,4,Clear,None,0.68,Air,1,1
SHIP_1461,8,Clear,Tariff,0.47,Road,8,6
SHIP_1462,14,Clear,Strike,0.9,Road,7,6
SHIP_1463,7,Snow,Sanction,0.69,Sea,7,7
SHIP_1464,9,Snow,Tariff,0.44,Air,5,7
SHIP_1465,4,Rainy,Sanction,0.74,Road,3,4
SHIP_1466,4,Rainy,Sanction,0.55,Road,7,5
SHIP_1467,5,Rainy,Sanction,0.89,Road,7,5
SHIP_1468,4,Storm,Tariff,0.62,Air,7,6
SHIP_1469,10,Clear,Sanction,0.81,Sea,2,5
SHIP_1470,12,Clear,Sanction,0.37,Sea,3,5
SHIP_1471,5,Rainy,Tariff,0.58,Sea,3,4
SHIP_1472,7,Clear,Sanction,0.99,Rail,4,4
SHIP_1473,9,Rainy,Tariff,0.87,Rail,9,6
SHIP_1474,12,Storm,Strike,0.41,Rail,1,6
SHIP_1475,14,Storm,Strike,0.49,Air,7,9
SHIP_1476,9,Snow,Strike,0.53,Road,7,7
SHIP_1477,6,Storm,Sanction,0.76,Road,4,6
SHIP_1478,6,Rainy,None,0.83,Air,1,1
SHIP_1479,7,Storm,None,0.82,Air,3,4
SHIP_1480,11,Snow,Sanction,0.66,Sea,5,7
SHIP_1481,8,Clear,None,0.87,Sea,2,2
SHIP_1482,14,Rainy,Tariff,0.61,Rail,7,6
SHIP_1483,14,Clear,None,0.39,Rail,7,5
SHIP_1484,11,Snow,Sanction,0.7,Air,5,6
SHIP_1485,8,Snow,Sanction,0.97,Rail,6,6
SHIP_1486,14,Snow,Tariff,0.86,Road,1,4
SHIP_1487,5,Clear,Strike,0.71,Air,4,4
SHIP_1488,7,Clear,Sanction,0.75,Air,4,3
SHIP_1489,8,Clear,Tariff,0.95,Road,8,4
SHIP_1490,6,Clear,None,0.6,Sea,2,3
SHIP_1491,6,Snow,None,0.53,Sea,1,4
SHIP_1492,3,Snow,Tariff,0.98,Road,7,5
SHIP_1493,8,Rainy,Tariff,0.9,Road,6,5
SHIP_1494,13,Rainy,Sanction,0.53,Rail,5,7
SHIP_1495,7,Clear,None,0.62,Air,8,4
SHIP_1496,12,Storm,Tariff,0.59,Rail,2,6
SHIP_1497,2,Storm,None,0.4,Road,2,3
SHIP_1498,5,Snow,Tariff,0.97,Rail,9,6
SHIP_1499,4,Snow,None,0.58,Road,1,3
SHIP_1500,13,Snow,Strike,0.91,Rail,6,8
SHIP_1501,4,Rainy,Sanction,0.43,Rail,3,5
SHIP_1502,8,Rainy,None,0.68,Sea,5,5
SHIP_1503,12,Snow,Strike,0.32,Road,8,8
SHIP_1504,13,Snow,None,0.83,Rail,7,6
SHIP_1505,11,Snow,None,0.71,Air,4,5
SHIP_1506,5,Storm,Strike,0.74,Rail,8,7
SHIP_1507,13,Rainy,None,0.34,Rail,2,4
SHIP_1508,9,Storm,None,0.45,Air,7,6
SHIP_1509,12,Storm,Sanction,0.35,Road,5,7
SHIP_1510,10,Snow,Strike,0.5,Sea,6,8
SHIP_1511,4,Snow,Strike,0.74,Sea,3,6
SHIP_1512,6,Clear,Tariff,0.7,Sea,7,5
SHIP_1513,5,Clear,None,0.73,Air,7,3
SHIP_1514,13,Storm,Sanction,0.68,Rail,2,7
SHIP_1515,11,Rainy,None,0.49,Road,1,4
SHIP_1516,7,Snow,None,0.47,Rail,2,4
SHIP_1517,12,Snow,Tariff,0.4,Sea,8,7
SHIP_1518,11,Storm,None,0.89,Rail,3,6
SHIP_1519,5,Clear,Sanction,0.73,Air,4,4
SHIP_1520,9,Rainy,Sanction,0.43,Air,8,7
SHIP_1521,4,Clear,Tariff,0.42,Road,3,3
SHIP_1522,12,Clear,None,0.91,Road,6,4
SHIP_1523,6,Clear,Sanction,0.82,Sea,2,4
SHIP_1524,14,Clear,None,0.76,Road,3,4
SHIP_1525,2,Snow,None,0.58,Rail,1,3
SHIP_1526,14,Snow,None,0.48,Air,9,7
SHIP_1527,7,Clear,Tariff,0.99,Air,4,3
SHIP_1528,12,Rainy,None,0.86,Air,6,5
SHIP_1529,6,Storm,Sanction,0.51,Road,7,7
SHIP_1530,9,Rainy,None,0.89,Air,2,3
SHIP_1531,10,Rainy,Sanction,0.83,Air,8,7
SHIP_1532,9,Rainy,None,0.51,Air,9,5
SHIP_1533,9,Clear,Sanction,0.6,Sea,2,5
SHIP_1534,13,Snow,Sanction,0.43,Sea,5,7
SHIP_1535,14,Rainy,None,0.38,Road,2,4
SHIP_1536,4,Clear,None,0.81,Air,5,2
SHIP_1537,5,Rainy,Sanction,0.49,Road,7,5
SHIP_1538,12,Rainy,Strike,0.87,Air,6,6
SHIP_1539,5,Clear,Tariff,1.0,Air,4,2
SHIP_1540,12,Snow,Strike,0.35,Air,2,7
SHIP_1541,6,Snow,Strike,0.63,Road,7,7
SHIP_1542,14,Storm,None,0.86,Road,9,7
SHIP_1543,10,Clear,Tariff,0.85,Air,1,3
SHIP_1544,13,Storm,Strike,0.83,Rail,3,7
SHIP_1545,10,Storm,None,0.54,Road,7,7
SHIP_1546,11,Storm,Strike,0.62,Sea,9,9
SHIP_1547,14,Snow,Strike,0.72,Road,5,7
SHIP_1548,13,Clear,None,0.98,Air,7,3
SHIP_1549,2,Storm,None,0.53,Rail,7,6
SHIP_1550,9,Clear,None,0.95,Air,4,3
SHIP_1551,2,Clear,Tariff,0.49,Sea,5,4
SHIP_1552,3,Snow,Strike,0.99,Road,2,5
SHIP_1553,8,Storm,None,0.77,Road,8,6
SHIP_1554,9,Storm,Sanction,0.62,Air,1,5
SHIP_1555,2,Clear,Strike,0.73,Air,2,3
SHIP_1556,4,Rainy,Sanction,0.49,Sea,3,5
SHIP_1557,8,Snow,Tariff,0.49,Rail,7,7
SHIP_1558,14,Snow,None,0.38,Sea,6,6
SHIP_1559,10,Snow,Sanction,0.38,Rail,7,8
SHIP_1560,9,Snow,Tariff,0.54,Road,5,5
SHIP_1561,9,Storm,None,0.83,Rail,4,5
SHIP_1562,10,Storm,Sanction,0.73,Rail,7,8
SHIP_1563,11,Rainy,Sanction,0.37,Road,3,6
SHIP_1564,4,Snow,Tariff,0.9,Road,7,5
SHIP_1565,9,Snow,None,0.72,Road,2,4
SHIP_1566,2,Clear,None,0.97,Sea,8,4
SHIP_1567,9,Storm,Sanction,0.77,Road,6,7
SHIP_1568,14,Snow,Sanction,0.42,Air,3,6
SHIP_1569,8,Rainy,Sanction,0.63,Road,3,3
SHIP_1570,14,Rainy,None,0.75,Road,5,5
SHIP_1571,9,Storm,Tariff,0.32,Road,3,6
SHIP_1572,2,Rainy,Tariff,0.31,Rail,6,5
SHIP_1573,7,Rainy,None,0.39,Sea,2,4
SHIP_1574,8,Storm,Strike,0.48,Road,8,8
SHIP_1575,12,Snow,Tariff,0.6,Sea,9,8
SHIP_1576,6,Snow,Sanction,0.64,Air,7,6
SHIP_1577,6,Rainy,Strike,0.4,Air,3,5
SHIP_1578,8,Rainy,Strike,0.77,Road,4,6
SHIP_1579,12,Snow,Tariff,0.72,Air,2,4
SHIP_1580,4,Storm,Strike,0.51,Sea,9,9
SHIP_1581,7,Rainy,Strike,0.31,Rail,5,7
SHIP_1582,8,Clear,Tariff,0.35,Road,2,3
SHIP_1583,2,Storm,Tariff,0.57,Air,6,5
SHIP_1584,13,Rainy,Strike,0.41,Sea,7,7
SHIP_1585,3,Rainy,Sanction,0.56,Sea,2,5
SHIP_1586,13,Clear,None,0.74,Air,1,3
SHIP_1587,5,Clear,Strike,0.68,Sea,7,6
SHIP_1588,14,Snow,Strike,0.46,Sea,1,8
SHIP_1589,9,Storm,Sanction,0.54,Road,3,6
SHIP_1590,12,Storm,Strike,0.73,Sea,4,9
SHIP_1591,14,Snow,Strike,0.9,Air,2,6
SHIP_1592,11,Storm,None,0.83,Road,7,7
SHIP_1593,7,Storm,None,0.69,Air,5,5
SHIP_1594,2,Storm,None,0.55,Rail,1,3
SHIP_1595,11,Storm,Tariff,0.56,Air,8,7
SHIP_1596,6,Storm,Tariff,0.92,Air,7,6
SHIP_1597,8,Clear,None,0.33,Road,4,3
SHIP_1598,14,Storm,None,0.99,Sea,2,6
SHIP_1599,7,Clear,Tariff,0.77,Air,7,4
SHIP_1600,14,Storm,Sanction,0.78,Road,2,7
SHIP_1601,14,Snow,Strike,0.33,Rail,6,8
SHIP_1602,13,Rainy,Strike,0.72,Road,1,5
SHIP_1603,10,Clear,None,0.64,Road,7,4
SHIP_1604,9,Storm,Sanction,0.37,Sea,7,8
SHIP_1605,5,Snow,Tariff,0.49,Air,4,5
SHIP_1606,14,Rainy,None,0.92,Rail,4,4
SHIP_1607,12,Clear,Sanction,0.68,Road,5,5
SHIP_1608,13,Rainy,Sanction,0.59,Air,2,5
SHIP_1609,6,Snow,Sanction,0.35,Air,9,8
SHIP_1610,8,Clear,Tariff,0.8,Road,4,4
SHIP_1611,9,Rainy,Tariff,0.79,Air,9,5
SHIP_1612,6,Storm,Strike,0.73,Road,3,5
SHIP_1613,10,Clear,Strike,0.66,Road,9,6
SHIP_1614,11,Rainy,Sanction,0.6,Road,1,5
SHIP_1615,13,Snow,Sanction,0.72,Rail,7,8
SHIP_1616,5,Snow,Tariff,0.46,Road,4,5
SHIP_1617,5,Clear,Strike,0.96,Sea,7,6
SHIP_1618,14,Rainy,Sanction,0.71,Air,6,6
SHIP_1619,9,Clear,Strike,0.52,Rail,4,6
SHIP_1620,2,Clear,Strike,0.61,Air,4,4
SHIP_1621,9,Rainy,Sanction,0.86,Rail,8,6
SHIP_1622,6,Rainy,Tariff,0.41,Sea,7,6
SHIP_1623,14,Storm,Sanction,0.5,Rail,4,7
SHIP_1624,12,Rainy,Sanction,0.78,Rail,6,6
SHIP_1625,2,Snow,Strike,0.52,Rail,6,6
SHIP_1626,5,Clear,Sanction,0.85,Air,1,2
SHIP_1627,3,Clear,Tariff,0.39,Road,2,2
SHIP_1628,5,Snow,Sanction,0.83,Air,4,5
SHIP_1629,9,Rainy,Tariff,0.35,Road,6,5
SHIP_1630,6,Snow,Tariff,0.31,Air,6,5
SHIP_1631,2,Snow,Strike,0.93,Sea,1,5
SHIP_1632,8,Storm,None,0.71,Sea,8,7
SHIP_1633,2,Snow,None,0.55,Rail,2,3
SHIP_1634,10,Clear,Strike,0.46,Sea,5,6
SHIP_1635,4,Snow,Sanction,0.73,Rail,4,5
SHIP_1636,13,Clear,Strike,0.66,Road,5,6
SHIP_1637,4,Clear,Tariff,0.99,Sea,5,4
SHIP_1638,7,Clear,None,0.99,Road,8,4
SHIP_1639,11,Rainy,Strike,0.74,Air,7,6
SHIP_1640,7,Storm,Sanction,0.61,Road,9,8
SHIP_1641,14,Clear,Strike,0.64,Air,1,5
SHIP_1642,12,Clear,None,0.78,Road,6,5
SHIP_1643,12,Rainy,Strike,0.37,Road,6,7
SHIP_1644,7,Clear,Strike,0.53,Sea,2,5
SHIP_1645,14,Snow,None,0.35,Road,8,7
SHIP_1646,2,Snow,Tariff,0.35,Sea,6,5
SHIP_1647,6,Storm,Tariff,0.44,Sea,9,8
SHIP_1648,13,Clear,None,0.64,Rail,5,4
SHIP_1649,7,Rainy,Strike,0.85,Rail,7,7
SHIP_1650,9,Snow,None,0.64,Air,6,4
SHIP_1651,14,Rainy,Tariff,0.53,Road,5,6
SHIP_1652,2,Rainy,Sanction,0.36,Air,6,5
SHIP_1653,6,Snow,Strike,0.69,Road,4,6
SHIP_1654,4,Rainy,Tariff,0.49,Rail,3,4
SHIP_1655,3,Snow,Strike,0.73,Rail,1,5
SHIP_1656,12,Rainy,None,0.98,Road,1,4
SHIP_1657,9,Snow,Sanction,0.38,Road,6,7
SHIP_1658,8,Clear,None,0.45,Rail,9,5
SHIP_1659,11,Storm,Sanction,0.63,Rail,8,8
SHIP_1660,8,Snow,Strike,0.98,Air,2,5
SHIP_1661,6,Snow,Strike,0.84,Rail,9,7
SHIP_1662,13,Storm,None,0.93,Road,8,6
SHIP_1663,14,Snow,Sanction,0.53,Air,9,8
SHIP_1664,10,Snow,Sanction,0.99,Road,4,6
SHIP_1665,6,Rainy,Strike,0.37,Sea,9,8
SHIP_1666,3,Storm,None,0.34,Air,2,4
SHIP_1667,4,Clear,Sanction,0.9,Road,1,3
SHIP_1668,5,Snow,Strike,0.95,Rail,9,7
SHIP_1669,6,Storm,Tariff,0.36,Sea,8,8
SHIP_1670,14,Rainy,None,0.38,Road,7,6
SHIP_1671,4,Clear,Tariff,0.32,Air,8,4
